Ñòîëáåö1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40;Column41;Column42;Column43;Column44;Column45;Column46;Column47;Column48;Column49;Column50;Column51;Column52
Australia;"Yes [South Australia. Summary Offences Act 1953. Section 25; Victoria. Sex Work Act 1994. Section 13; New South Wales. Summary Offence Act 
1988. Section 19; Western Australia. Prostitution Act 2000. s25.]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Yes [South Australia. Summary Offences Act 1953. Section 25; Victoria. Sex Work Act 1994. Section 13; New South Wales. Summary Offence Act 
1988. Section 19; Western Australia. Prostitution Act 2000. s25.]";;;;;;;;;;;;;;;;;;;;;
Austria;Yes [Report on prostitution laws in the European Union 2014 https://documentation.lastradainternational.org/lsidocs/3048-EU-prostitution-laws.pdf];;;;;Yes [Report on prostitution laws in the European Union 2014 https://documentation.lastradainternational.org/lsidocs/3048-EU-prostitution-laws.pdf];;;;;;;;;;;;;;;;;;;;;;;;;Yes [Report on prostitution laws in the European Union 2014 https://documentation.lastradainternational.org/lsidocs/3048-EU-prostitution-laws.pdf];;;;;;;;;;;;;;;;;;;;
Azerbaijan;Yes [Azerbaijan. Code of administrative offences 2000 (https://cis-legislation.com/document.fwx?rgn=2591) and National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [Azerbaijan. Code of administrative offences 2000 (https://cis-legislation.com/document.fwx?rgn=2591) and National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yes [Azerbaijan. Code of administrative offences 2000 (https://www.legislationline.org/download/id/3439/file/Azerbaijan_Code%20on%20Administrative%20offences_2000_eng.pdf)];;Yes [Azerbaijan. Code of administrative offences 2000 (https://cis-legislation.com/document.fwx?rgn=2591) and National Commitments and Policy Instrument 2022];Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;
Bahamas;Yes [UNAIDS National Commitments and Policy Instrument 2021];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;;;;;;;;;;;;;
Bahrain;Yes [Bahrain. Bahrain Penal Code, 1976. Article 326 (https://sherloc.unodc.org/cld/uploads/res/document/bhr/1976/penal-code_html/Bahrain_Penal_Code_Decree_No_15_of_1976_EN_translation_-_non_official.pdf). ];;;;;;;Yes [Bahrain. Bahrain Penal Code, 1976. Article 326 (https://sherloc.unodc.org/cld/uploads/res/document/bhr/1976/penal-code_html/Bahrain_Penal_Code_Decree_No_15_of_1976_EN_translation_-_non_official.pdf). ];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bangladesh;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;Yes [Bangladesh. Penal Code s290];;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;
Barbados;Yes [Barbados. Sexual Offences Act, 1992. Section 9 (http://www2.ohchr.org/english/bodies/hrc/docs/ngos/lgbti2.pdf)];;;Yes [Barbados. Sexual Offences Act, 1992. Section 9 (http://www2.ohchr.org/english/bodies/hrc/docs/ngos/lgbti2.pdf)];;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [Barbados. Sexual Offences Act, 1992. Section 9 (http://www2.ohchr.org/english/bodies/hrc/docs/ngos/lgbti2.pdf)];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Belarus;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;"Yes [Sexual Rights Initiative database [database]. Sexual Rights Initiative; c2016 (http://sexualrightsdatabase.org/map/21/Adult%20sex%20work).]";;;;;;;;
Belgium;Yes [Articles 379, 380, 380bis of the Penal Code https://www.legislationline.org/download/id/9628/file/BELG_CC_fr.pdf ];;;;;Yes [Articles 379, 380, 380bis of the Penal Code https://www.legislationline.org/download/id/9628/file/BELG_CC_fr.pdf ];;;;;;;;;;;;;;;;;;;;;;;;;Yes [Articles 379, 380, 380bis of the Penal Code https://www.legislationline.org/download/id/9628/file/BELG_CC_fr.pdf ];;;;;;;;;;;;;;;;;;;;
Belize;Yes [Belize. Criminal Code, Chapter 101. Article 49 (https://www.ilo.org/dyn/natlex/docs/ELECTRONIC/68422/66703/F1776464508/BLZ68422.pdf).];;;;;Yes [Belize. Criminal Code, Chapter 101. Article 49 (https://www.ilo.org/dyn/natlex/docs/ELECTRONIC/68422/66703/F1776464508/BLZ68422.pdf).];;;;;;;;;;;;;;;;;"Yes [Sexual Rights Initiative database [database]. Sexual Rights Initiative; c2016 (http://sexualrightsdatabase.org/map/21/Adult%20sex%20work).]";;;;;;;;;;;;;;;;;;;;;;;;;;;;
